record_id,td
17,106.625
20,132.45833333333334
55,70.83333333333333
59,24.916666666666668
60,71.41666666666667
69,90.125
83,209.20833333333334
84,192.66666666666666
85,165.54166666666666
89,110.58333333333333
91,149.25
93,40.125
95,79.95833333333333
97,189.875
110,307.0416666666667
111,235.75
113,24.416666666666668
116,40.666666666666664
120,34.416666666666664
123,159.08333333333334
124,34.75
126,178.875
127,164.875
129,41.291666666666664
130,47.25
134,42.458333333333336
144,64.16666666666667
145,110.91666666666667
158,38.541666666666664
161,116.75
194,164.5
204,26.208333333333332
227,146.58333333333334
228,62.583333333333336
230,469.7083333333333
282,170.41666666666666
300,861.7083333333334
311,634.4166666666666
314,213.875
338,245.5
346,71.91666666666667
409,124.33333333333333
421,5.291666666666667
437,21.208333333333332
449,41.875
473,65.41666666666667
496,34.5
500,34.708333333333336
517,133.91666666666666
563,28.0
567,483.4583333333333
575,151.04166666666666
584,54.041666666666664
629,82.75
718,190.5
741,263.9166666666667
760,331.875
765,365.9166666666667
772,63.375
779,36.166666666666664
786,259.4166666666667
829,127.33333333333333
878,318.2083333333333
968,281.0
984,122.25
992,22.75
994,91.83333333333333
998,112.83333333333333
1010,291.0
1032,77.20833333333333
1037,49.625
1043,37.416666666666664
1060,132.04166666666666
1112,744.1666666666666
1507,152.75
1534,27.375
1575,111.0
1579,90.54166666666667
1658,54.458333333333336
1663,97.54166666666667
1673,85.375
1688,30.5
1739,32.666666666666664
1753,154.83333333333334
1829,198.33333333333334
1846,215.04166666666666
