,Average time to discovery,Classifier,Dataset,Extra Relevant record Found_0.1,Model,Recall_0.1,Recall_0.25,Recall_0.5,Recall_0.75,Recall_0.9,Work Saved over Sampling_0.95,td_1112,td_300,td_567,td_741,td_878
0,145.12790697674419,logistic,Original,0.6511627906976745,tfidf,0.7558139534883721,0.9186046511627907,1.0,1.0,1.0,0.6472805600430802,713.0,569.0,566.0,183.0,187.0
1,118.74418604651163,logistic,Original,0.7325581395348837,sbert,0.8372093023255814,0.9651162790697675,0.9883720930232558,1.0,1.0,0.8131394722670975,758.0,1138.0,117.0,74.0,56.0
2,222.27906976744185,logistic,Original,0.4883720930232558,mbert,0.5930232558139535,0.8953488372093024,0.9883720930232558,1.0,1.0,0.6042003231017771,318.0,417.0,283.0,292.0,309.0
3,158.77906976744185,logistic,Original,0.5697674418604651,muse,0.6744186046511628,0.9418604651162791,1.0,1.0,1.0,0.7049003769520732,265.0,663.0,103.0,17.0,142.0
4,243.09302325581396,logistic,Original,0.3953488372093023,mlongt5,0.5,0.8488372093023255,1.0,1.0,1.0,0.6117393645665051,98.0,245.0,65.0,27.0,33.0
5,138.24418604651163,logistic,Original,0.6395348837209303,labse,0.7441860465116279,0.9418604651162791,1.0,1.0,1.0,0.7049003769520732,538.0,564.0,102.0,7.0,6.0
6,213.1627906976744,logistic,Original,0.47674418604651164,laser,0.5813953488372093,0.9069767441860465,0.9883720930232558,1.0,1.0,0.6370490037695208,445.0,757.0,266.0,16.0,20.0
7,205.8953488372093,logistic,Original,0.45348837209302323,mpnet,0.5581395348837209,0.9186046511627907,0.9883720930232558,1.0,1.0,0.6666666666666666,468.0,1244.0,285.0,51.0,183.0
8,225.06976744186048,logistic,Original,0.4418604651162791,minilm,0.5465116279069767,0.8837209302325582,0.9883720930232558,1.0,1.0,0.6445880452342488,826.0,1171.0,199.0,68.0,203.0
9,270.0,logistic,Original,0.3023255813953488,stsb,0.4069767441860465,0.8604651162790697,0.9883720930232558,1.0,1.0,0.5945072697899838,552.0,540.0,384.0,193.0,438.0
10,134.34883720930233,logistic,English,0.6976744186046512,tfidf,0.8023255813953488,0.9534883720930233,1.0,1.0,1.0,0.7065158858373721,281.0,714.0,132.0,123.0,67.0
11,106.74418604651163,logistic,English,0.7558139534883721,sbert,0.8604651162790697,0.9767441860465116,0.9883720930232558,1.0,1.0,0.8169089929994615,191.0,971.0,45.0,36.0,56.0
12,230.87209302325581,logistic,English,0.45348837209302323,mbert,0.5581395348837209,0.8488372093023255,0.9883720930232558,1.0,1.0,0.6160473882606354,390.0,731.0,100.0,34.0,30.0
13,159.2093023255814,logistic,English,0.5697674418604651,muse,0.6744186046511628,0.9534883720930233,1.0,1.0,1.0,0.7108239095315024,203.0,577.0,98.0,24.0,186.0
14,261.0581395348837,logistic,English,0.313953488372093,mlongt5,0.4186046511627907,0.8604651162790697,1.0,1.0,1.0,0.6074313408723748,63.0,86.0,74.0,218.0,194.0
15,133.0,logistic,English,0.6395348837209303,labse,0.7441860465116279,0.9534883720930233,1.0,1.0,1.0,0.7662897145934303,312.0,484.0,20.0,6.0,11.0
16,240.8139534883721,logistic,English,0.4186046511627907,laser,0.5232558139534884,0.8372093023255814,0.9883720930232558,1.0,1.0,0.6332794830371568,364.0,650.0,166.0,33.0,35.0
17,195.90697674418604,logistic,English,0.45348837209302323,mpnet,0.5581395348837209,0.9302325581395349,1.0,1.0,1.0,0.6709746903607969,174.0,700.0,93.0,11.0,301.0
18,221.36046511627907,logistic,English,0.4418604651162791,minilm,0.5465116279069767,0.9186046511627907,0.9883720930232558,1.0,1.0,0.6639741518578353,554.0,653.0,148.0,87.0,335.0
19,261.6279069767442,logistic,English,0.32558139534883723,stsb,0.43023255813953487,0.8488372093023255,0.9883720930232558,1.0,1.0,0.620893914916532,299.0,418.0,441.0,63.0,398.0
20,200.59302325581396,logistic,Multi_1,0.6395348837209303,tfidf,0.7441860465116279,0.9069767441860465,0.9418604651162791,0.9534883720930233,0.9883720930232558,0.5228863758750674,1848.0,1543.0,1542.0,1047.0,1460.0
21,131.5,logistic,Multi_1,0.7790697674418605,sbert,0.8837209302325582,0.9534883720930233,0.9767441860465116,1.0,1.0,0.7948303715670436,766.0,1098.0,1099.0,89.0,85.0
22,239.51162790697674,logistic,Multi_1,0.47674418604651164,mbert,0.5813953488372093,0.8837209302325582,0.9883720930232558,1.0,1.0,0.5858912224017232,507.0,226.0,181.0,205.0,521.0
23,166.11627906976744,logistic,Multi_1,0.5697674418604651,muse,0.6744186046511628,0.9302325581395349,1.0,1.0,1.0,0.6812062466343565,260.0,631.0,93.0,29.0,183.0
24,268.1279069767442,logistic,Multi_1,0.3023255813953488,mlongt5,0.4069767441860465,0.8604651162790697,1.0,1.0,1.0,0.5993537964458805,340.0,396.0,388.0,168.0,166.0
25,138.4418604651163,logistic,Multi_1,0.627906976744186,labse,0.7325581395348837,0.9534883720930233,1.0,1.0,1.0,0.7102854065697362,459.0,588.0,37.0,17.0,32.0
26,226.54651162790697,logistic,Multi_1,0.45348837209302323,laser,0.5581395348837209,0.872093023255814,0.9767441860465116,1.0,1.0,0.6235864297253635,404.0,624.0,195.0,21.0,24.0
27,212.59302325581396,logistic,Multi_1,0.4186046511627907,mpnet,0.5232558139534884,0.9302325581395349,0.9883720930232558,1.0,1.0,0.6844372644049542,457.0,1330.0,138.0,22.0,303.0
28,230.74418604651163,logistic,Multi_1,0.43023255813953487,minilm,0.5348837209302325,0.9069767441860465,0.9883720930232558,1.0,1.0,0.6375875067312871,811.0,1212.0,223.0,59.0,554.0
