,file_name,recall_0.1,recall_0.25,recall_0.5,recall_0.75,recall_0.9,wss_0.95,erf_0.1,atd
0,metrics_sim_Hamilton_English_svm_distiluse_0.json,0.6511627906976745,0.8837209302325582,0.9767441860465116,1.0,1.0,0.6155088852988692,0.5465116279069767,196.97674418604652
1,metrics_sim_Hamilton_English_svm_mpnet_0.json,0.6046511627906976,0.9069767441860465,0.9767441860465116,1.0,1.0,0.6494345718901454,0.5,205.4418604651163
2,metrics_sim_Hamilton_English_svm_stsb_0.json,0.6511627906976745,0.9069767441860465,1.0,1.0,1.0,0.6526655896607432,0.5465116279069767,189.01162790697674
3,metrics_sim_Hamilton_English_svm_tfidf_0.json,0.7558139534883721,0.9302325581395349,0.9767441860465116,1.0,1.0,0.6655896607431341,0.6511627906976745,145.75581395348837
4,metrics_sim_Hamilton_Multi_1_svm_distiluse_0.json,0.6395348837209303,0.9302325581395349,1.0,1.0,1.0,0.6612816370490038,0.5348837209302325,175.6860465116279
5,metrics_sim_Hamilton_Multi_1_svm_mpnet_0.json,0.5930232558139535,0.8837209302325582,0.9767441860465116,0.9883720930232558,0.9883720930232558,0.5923532579429187,0.4883720930232558,217.88372093023256
6,metrics_sim_Hamilton_Multi_1_svm_stsb_0.json,0.5465116279069767,0.9069767441860465,1.0,1.0,1.0,0.6165858912224017,0.4418604651162791,215.02325581395348
7,metrics_sim_Hamilton_Multi_1_svm_tfidf_0.json,0.7558139534883721,0.8837209302325582,0.9418604651162791,0.9534883720930233,0.9883720930232558,0.4614970382337103,0.6511627906976745,209.27906976744185
8,metrics_sim_Hamilton_Multi_2_svm_distiluse_0.json,0.627906976744186,0.8953488372093024,0.9883720930232558,1.0,1.0,0.6090468497576736,0.5232558139534884,201.03488372093022
9,metrics_sim_Hamilton_Multi_2_svm_mpnet_0.json,0.6395348837209303,0.8837209302325582,0.9767441860465116,0.9883720930232558,1.0,0.5805061927840603,0.5348837209302325,221.91860465116278
10,metrics_sim_Hamilton_Multi_2_svm_stsb_0.json,0.5930232558139535,0.8604651162790697,1.0,1.0,1.0,0.5821217016693592,0.4883720930232558,218.0
11,metrics_sim_Hamilton_Multi_2_svm_tfidf_0.json,0.7209302325581395,0.8837209302325582,0.9418604651162791,0.9534883720930233,0.9767441860465116,0.4437264404954227,0.6162790697674418,212.54651162790697
12,metrics_sim_Hamilton_Original_svm_distiluse_0.json,0.627906976744186,0.8837209302325582,0.9883720930232558,1.0,1.0,0.6510500807754442,0.5232558139534884,194.1860465116279
13,metrics_sim_Hamilton_Original_svm_mpnet_0.json,0.6162790697674418,0.9186046511627907,0.9534883720930233,0.9883720930232558,1.0,0.5702746365105008,0.5116279069767442,222.86046511627907
14,metrics_sim_Hamilton_Original_svm_stsb_0.json,0.5348837209302325,0.9069767441860465,1.0,1.0,1.0,0.5993537964458805,0.43023255813953487,213.86046511627907
15,metrics_sim_Hamilton_Original_svm_tfidf_0.json,0.7441860465116279,0.9186046511627907,0.9883720930232558,1.0,1.0,0.6612816370490038,0.6395348837209303,160.30232558139534
