Prior knowledge,Average time to discovery,Classifier,Dataset,Extra Relevant record Found_0.1,Model,Recall_0.1,Recall_0.25,Recall_0.5,Recall_0.75,Recall_0.9,Work Saved over Sampling_0.95
1,144.5930233,logistic,Original,0.674418605,tfidf,0.779069767,0.930232558,1,1,1,0.639203016
1,114.5581395,logistic,Original,0.779069767,sbert,0.88372093,0.965116279,0.988372093,1,1,0.819601508
1,229.3372093,logistic,Original,0.465116279,mbert,0.569767442,0.872093023,0.988372093,0.988372093,1,0.60366182
1,114.8604651,logistic,Original,0.709302326,muse,0.813953488,0.976744186,1,1,1,0.780290792
1,239.3837209,logistic,Original,0.372093023,mlongt5,0.476744186,0.872093023,1,1,1,0.623047927
1,138.6744186,logistic,Original,0.604651163,labse,0.709302326,0.953488372,1,1,1,0.733441034
1,218.3953488,logistic,Original,0.465116279,laser,0.569767442,0.872093023,0.988372093,1,1,0.636510501
1,207.9534884,logistic,Original,0.418604651,mpnet,0.523255814,0.918604651,0.988372093,1,1,0.666128164
1,227.8023256,logistic,Original,0.465116279,minilm,0.569767442,0.860465116,0.988372093,1,1,0.635433495
1,272.6162791,logistic,Original,0.325581395,stsb,0.430232558,0.848837209,1,1,1,0.595584276
1,131.4302326,logistic,English,0.674418605,tfidf,0.779069767,0.941860465,1,1,1,0.692514809
1,108.1046512,logistic,English,0.779069767,sbert,0.88372093,0.976744186,0.988372093,1,1,0.815831987
1,224.6395349,logistic,English,0.476744186,mbert,0.581395349,0.872093023,0.988372093,1,1,0.612277868
1,112.0465116,logistic,English,0.73255814,muse,0.837209302,0.976744186,1,1,1,0.754981152
1,242.627907,logistic,English,0.372093023,mlongt5,0.476744186,0.872093023,1,1,1,0.63812601
1,138.1162791,logistic,English,0.639534884,labse,0.744186047,0.965116279,1,1,1,0.726978998
1,221.0465116,logistic,English,0.488372093,laser,0.593023256,0.88372093,0.976744186,1,1,0.626278945
1,190.3488372,logistic,English,0.488372093,mpnet,0.593023256,0.941860465,1,1,1,0.689283791
1,212.5697674,logistic,English,0.476744186,minilm,0.581395349,0.872093023,1,1,1,0.639741519
1,260.255814,logistic,English,0.279069767,stsb,0.38372093,0.872093023,1,1,1,0.602584814
1,196.6744186,logistic,Multi_1,0.674418605,tfidf,0.779069767,0.895348837,0.941860465,0.953488372,0.988372093,0.506192784
1,128.9186047,logistic,Multi_1,0.720930233,sbert,0.825581395,0.953488372,0.976744186,1,1,0.801292407
1,254.1162791,logistic,Multi_1,0.325581395,mbert,0.430232558,0.895348837,0.988372093,0.988372093,1,0.619278406
1,114.9302326,logistic,Multi_1,0.720930233,muse,0.825581395,0.976744186,1,1,1,0.774905762
1,261.3372093,logistic,Multi_1,0.313953488,mlongt5,0.418604651,0.872093023,1,1,1,0.598276791
1,130.1162791,logistic,Multi_1,0.639534884,labse,0.744186047,0.976744186,1,1,1,0.745826602
1,211.2093023,logistic,Multi_1,0.5,laser,0.604651163,0.88372093,0.988372093,1,1,0.626278945
1,212.3139535,logistic,Multi_1,0.395348837,mpnet,0.5,0.895348837,0.988372093,1,1,0.63812601
1,234.1046512,logistic,Multi_1,0.395348837,minilm,0.5,0.872093023,0.976744186,1,1,0.642972536
1,261.4883721,logistic,Multi_1,0.337209302,stsb,0.441860465,0.872093023,0.988372093,1,1,0.577813678
1,198.8837209,logistic,Multi_2,0.639534884,tfidf,0.744186047,0.918604651,0.941860465,0.953488372,0.988372093,0.519116855
1,123.8372093,logistic,Multi_2,0.755813953,sbert,0.860465116,0.953488372,1,1,1,0.795368875
1,258.3139535,logistic,Multi_2,0.418604651,mbert,0.523255814,0.848837209,0.988372093,0.988372093,1,0.578890684
1,117.3837209,logistic,Multi_2,0.709302326,muse,0.813953488,0.965116279,1,1,1,0.777059774
1,248.4069767,logistic,Multi_2,0.348837209,mlongt5,0.453488372,0.872093023,1,1,1,0.623047927
1,141.0116279,logistic,Multi_2,0.61627907,labse,0.720930233,0.930232558,1,1,1,0.674744211
1,220.6860465,logistic,Multi_2,0.465116279,laser,0.569767442,0.895348837,0.976744186,1,1,0.63812601
1,215.744186,logistic,Multi_2,0.441860465,mpnet,0.546511628,0.895348837,0.988372093,1,1,0.630586968
1,236.9651163,logistic,Multi_2,0.441860465,minilm,0.546511628,0.906976744,0.965116279,1,1,0.624124933
1,247.372093,logistic,Multi_2,0.395348837,stsb,0.5,0.860465116,0.988372093,1,1,0.583737211
1,160.3023256,svm,Original,0.639534884,tfidf,0.744186047,0.918604651,0.988372093,1,1,0.661281637
1,126.1627907,svm,Original,0.720930233,sbert,0.825581395,0.965116279,1,1,1,0.787829833
1,250.9418605,svm,Original,0.348837209,mbert,0.453488372,0.848837209,0.976744186,1,1,0.646742057
1,133.3023256,svm,Original,0.709302326,muse,0.813953488,0.953488372,1,1,1,0.735056543
1,226.5,svm,Original,0.360465116,mlongt5,0.465116279,0.895348837,1,1,1,0.651588584
1,158.372093,svm,Original,0.604651163,labse,0.709302326,0.941860465,1,1,1,0.709208401
1,236.3372093,svm,Original,0.406976744,laser,0.511627907,0.88372093,0.976744186,0.988372093,1,0.592891761
1,222.8604651,svm,Original,0.511627907,mpnet,0.61627907,0.918604651,0.953488372,0.988372093,1,0.570274637
1,243.0116279,svm,Original,0.5,minilm,0.604651163,0.872093023,0.953488372,1,1,0.595045773
1,213.8604651,svm,Original,0.430232558,stsb,0.534883721,0.906976744,1,1,1,0.599353796
1,145.755814,svm,English,0.651162791,tfidf,0.755813953,0.930232558,0.976744186,1,1,0.665589661
1,114.6627907,svm,English,0.709302326,sbert,0.813953488,0.976744186,1,1,1,0.80721594
1,259.0116279,svm,English,0.406976744,mbert,0.511627907,0.837209302,0.965116279,1,1,0.547119009
