Prior knowledge,Average time to discovery,Classifier,Dataset,Extra Relevant record Found_0.1,Model,Recall_0.1,Recall_0.25,Recall_0.5,Recall_0.75,Recall_0.9,Work Saved over Sampling_0.95
1,128.2790698,svm,English,0.697674419,muse,0.802325581,0.965116279,1,1,1,0.739364567
1,218.7674419,svm,English,0.418604651,mlongt5,0.523255814,0.88372093,1,1,1,0.647819063
1,146.1627907,svm,English,0.604651163,labse,0.709302326,0.953488372,1,1,1,0.739903069
1,239.872093,svm,English,0.453488372,laser,0.558139535,0.860465116,0.976744186,0.988372093,0.988372093,0.601507808
1,205.4418605,svm,English,0.5,mpnet,0.604651163,0.906976744,0.976744186,1,1,0.649434572
1,235.5465116,svm,English,0.406976744,minilm,0.511627907,0.88372093,0.988372093,1,1,0.613354873
1,189.0116279,svm,English,0.546511628,stsb,0.651162791,0.906976744,1,1,1,0.65266559
1,209.2790698,svm,Multi_1,0.651162791,tfidf,0.755813953,0.88372093,0.941860465,0.953488372,0.988372093,0.461497038
1,126.9418605,svm,Multi_1,0.73255814,sbert,0.837209302,0.953488372,1,1,1,0.789445342
1,275.872093,svm,Multi_1,0.38372093,mbert,0.488372093,0.825581395,0.976744186,0.988372093,1,0.561120086
1,127.9186047,svm,Multi_1,0.709302326,muse,0.813953488,0.965116279,1,1,1,0.761443188
1,224.8604651,svm,Multi_1,0.395348837,mlongt5,0.5,0.88372093,1,1,1,0.654281099
1,145.4418605,svm,Multi_1,0.639534884,labse,0.744186047,0.941860465,1,1,1,0.709746904
1,239.9883721,svm,Multi_1,0.418604651,laser,0.523255814,0.872093023,0.976744186,0.988372093,1,0.563274098
1,217.8837209,svm,Multi_1,0.488372093,mpnet,0.593023256,0.88372093,0.976744186,0.988372093,0.988372093,0.592353258
1,250.1395349,svm,Multi_1,0.395348837,minilm,0.5,0.895348837,0.953488372,1,1,0.614431879
1,215.0232558,svm,Multi_1,0.441860465,stsb,0.546511628,0.906976744,1,1,1,0.616585891
1,212.5465116,svm,Multi_2,0.61627907,tfidf,0.720930233,0.88372093,0.941860465,0.953488372,0.976744186,0.44372644
1,130.755814,svm,Multi_2,0.697674419,sbert,0.802325581,0.965116279,1,1,1,0.77275175
1,282.5232558,svm,Multi_2,0.372093023,mbert,0.476744186,0.813953488,0.965116279,0.988372093,1,0.552504039
1,139.1395349,svm,Multi_2,0.720930233,muse,0.825581395,0.941860465,1,1,1,0.705977383
1,212.5813953,svm,Multi_2,0.395348837,mlongt5,0.5,0.906976744,1,1,1,0.651050081
1,162.0232558,svm,Multi_2,0.523255814,labse,0.627906977,0.965116279,1,1,1,0.721055466
1,235.9534884,svm,Multi_2,0.430232558,laser,0.534883721,0.848837209,0.965116279,0.988372093,1,0.586968228
1,221.9186047,svm,Multi_2,0.534883721,mpnet,0.639534884,0.88372093,0.976744186,0.988372093,1,0.580506193
1,263.7674419,svm,Multi_2,0.395348837,minilm,0.5,0.872093023,0.953488372,0.976744186,1,0.589660743
1,218,svm,Multi_2,0.488372093,stsb,0.593023256,0.860465116,1,1,1,0.582121702
